date,Sentiment_NLTK,Sentiment_TB,neg,neu,pos,compound,Subjectivity,Polarity
2024-01-23 20,Positive,Positive,0.0,0.848,0.152,0.4939,0.3522727272727273,0.19318181818181818
2024-01-23 19,Neutral,Negative,0.0,1.0,0.0,0.0,0.5833333333333334,-0.08333333333333333
2024-01-23 18,Neutral,Positive,0.0595,0.9405,0.0,-0.29295,0.5375,0.125
2024-01-23 17,Positive,Positive,0.039,0.8115,0.14925,0.491475,0.585763888888889,0.3208333333333333
2024-01-23 16,Negative,Positive,0.0312,0.8375999999999999,0.13140000000000002,0.29910000000000003,0.4176851851851852,0.10331481481481482
2024-01-23 15,Neutral,Positive,0.0,0.96875,0.03125,0.142975,0.2544507575757576,0.1168560606060606
2024-01-23 14,Positive,Positive,0.09559999999999999,0.7292,0.1752,0.22026000000000004,0.5703333333333334,0.278
2024-01-23 13,Positive,Positive,0.037875,0.872875,0.08925,0.22225,0.34013573232323235,0.13227588383838385
2024-01-23 11,Negative,Positive,0.0806,0.819,0.1004,0.027039999999999998,0.42333333333333334,0.045000000000000005
2024-01-23 10,Positive,Positive,0.051666666666666666,0.8588888888888889,0.08944444444444445,0.07684444444444444,0.2913065843621399,0.05412551440329218
2024-01-23 09,Positive,Positive,0.0,0.912,0.088,0.4767,0.3803030303030303,0.09242424242424244
2024-01-23 08,Positive,Positive,0.025666666666666667,0.8086666666666668,0.16566666666666666,0.5161,0.19305555555555554,0.011111111111111112
2024-01-23 07,Neutral,Positive,0.0,1.0,0.0,0.0,0.16666666666666666,0.125
2024-01-23 06,Positive,Positive,0.057,0.885,0.059,0.0258,0.26666666666666666,0.049999999999999996
2024-01-23 04,Positive,Positive,0.0,0.917,0.083,0.31805,0.36388888888888893,0.15416666666666667
2024-01-23 03,Positive,Positive,0.0,0.945,0.055,0.2023,0.44375,0.06875
2024-01-23 02,Neutral,Neutral,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-23 01,Negative,Positive,0.1255,0.823,0.051,-0.389,0.325,0.125
2024-01-22 23,Positive,Negative,0.0,0.876,0.124,0.46035000000000004,0.35000000000000003,-0.004166666666666669
2024-01-22 22,Positive,Neutral,0.0,0.912,0.088,0.4767,0.5,0.0
2024-01-22 21,Positive,Positive,0.163,0.671,0.165,-0.2263,0.30833333333333335,0.11666666666666667
2024-01-22 20,Negative,Positive,0.042499999999999996,0.9195,0.038,-0.081425,0.1672348484848485,0.07954545454545454
2024-01-22 19,Negative,Positive,0.053,0.947,0.0,-0.1877,0.555,0.17833333333333334
2024-01-22 18,Positive,Positive,0.0,0.849,0.151,0.5719,0.25,0.2
2024-01-22 17,Negative,Positive,0.08233333333333333,0.8253333333333334,0.09266666666666667,0.04883333333333336,0.42416666666666664,0.16333333333333333
2024-01-22 16,Positive,Positive,0.032,0.842,0.126,0.34542500000000004,0.32395833333333335,0.15625
2024-01-22 15,Neutral,Positive,0.043,0.9426,0.0144,-0.16898,0.38545454545454544,0.22363636363636363
2024-01-22 14,Positive,Positive,0.0,0.87,0.13,0.61025,0.275,0.35
2024-01-22 13,Neutral,Positive,0.0495,0.91,0.0405,-0.03455,0.48281250000000003,0.1765625
2024-01-22 12,Positive,Positive,0.032,0.8716000000000002,0.0964,0.16082000000000002,0.35781096681096686,0.2032337662337662
2024-01-22 11,Positive,Positive,0.0515,0.8095,0.139,0.29664999999999997,0.41250000000000003,0.2875
2024-01-22 09,Negative,Positive,0.06966666666666667,0.8753333333333333,0.055,-0.14,0.4063492063492064,0.07261904761904761
2024-01-22 08,Neutral,Positive,0.024333333333333332,0.9756666666666667,0.0,-0.10606666666666666,0.5261904761904762,0.10757575757575756
2024-01-22 07,Positive,Positive,0.04475,0.85875,0.0965,0.13812499999999997,0.52625,0.09125000000000001
2024-01-22 06,Positive,Positive,0.0,0.8826666666666667,0.11733333333333333,0.5699333333333333,0.5152777777777778,0.09305555555555556
2024-01-22 05,Positive,Positive,0.034999999999999996,0.847,0.118,0.30583333333333335,0.47833333333333333,0.021666666666666667
2024-01-22 04,Positive,Positive,0.0,0.831,0.169,0.6249,0.425,0.15
2024-01-22 03,Negative,Negative,0.037,0.9355,0.0275,-0.09979999999999999,0.409375,-0.10104166666666668
2024-01-21 21,Positive,Positive,0.0,0.9625,0.0375,0.1909,0.4645833333333333,0.19791666666666666
2024-01-21 20,Positive,Positive,0.0,0.848,0.152,0.4939,0.3522727272727273,0.19318181818181818
2024-01-21 17,Negative,Negative,0.1375,0.823,0.0395,-0.52235,0.3375,-0.15000000000000002
